,index,Path3,Path8,Path14,Path65,Path66
0,365,0.0,1588.4494376064922,397.5207212026563,0.0,0.0
1,366,0.0,1383.2078461709275,247.77629857304782,0.0,0.0
2,367,0.0,1550.2262643656477,633.0653233265108,0.0,0.0
3,368,0.0,1457.5444628681564,629.2963895160611,0.0,0.0
4,369,0.0,1073.5937360029004,614.3918963464015,0.0,0.0
5,370,0.0,1234.004621587904,713.7849879589253,0.0,0.0
6,371,0.0,1275.3812679781986,853.87010783658,264.22221772255205,0.0
7,372,0.0,1370.1631019326564,196.7012269443174,0.0,0.0
8,373,0.0,1412.2765237274148,334.08273302444775,0.0,0.0
9,374,0.0,1111.5569154429206,609.0765116934044,0.0,0.0
10,375,0.0,957.7056114590221,486.3897176808921,0.0,0.0
11,376,0.0,1365.9178105078238,1149.586785542123,0.0,0.0
12,377,0.0,963.1843824635132,519.566468926641,0.0,0.0
13,378,0.0,1278.15032730925,296.5303577792756,0.0,0.0
14,379,0.0,1397.4180698508255,265.52478286776244,0.0,0.0
15,380,0.0,1059.208159434208,0.48251748801683897,0.0,0.0
16,381,0.0,1159.185103022858,399.84903973405335,0.0,0.0
17,382,0.0,1841.914183114764,433.680043509133,0.0,0.0
18,383,0.0,1292.429301155529,726.1040202676485,0.0,0.0
19,384,0.0,1688.9426626510392,684.9415101911568,293.94307065291036,0.0
20,385,0.0,1819.457790409356,1024.1697238161723,290.5070738403376,0.0
21,386,0.0,1602.4177977053741,578.6075314477632,231.46490396903545,0.0
22,387,0.0,1473.9396370971067,81.30629235920071,0.0,0.0
23,388,0.0,1144.5026899779966,173.8286793183165,0.0,0.0
24,389,0.0,1447.5390014356938,761.3469488710309,0.0,0.0
25,390,0.0,1160.6748177213306,800.4892101825535,0.0,0.0
26,391,0.0,1304.6409243005012,254.50405111863617,0.0,0.0
27,392,0.0,1252.3419023796264,478.97249713322714,0.0,0.0
28,393,0.0,1245.9798400859884,0.0,0.0,0.0
29,394,0.0,1268.2988205659162,191.4440632739236,0.0,0.0
30,395,0.0,1139.8170530549155,425.28925505637466,0.0,0.0
31,396,0.0,1558.7086456952386,789.7865971763292,0.0,0.0
32,397,0.0,1263.8904530977227,692.2602356066592,0.0,0.0
33,398,0.0,906.7172805117552,500.4514266511836,0.0,0.0
34,399,0.0,549.5671859891385,183.4479458955141,0.0,0.0
35,400,0.0,731.9458109068263,596.2992700538483,0.0,0.0
36,401,0.0,1162.0141497723646,578.3349692787142,0.0,0.0
37,402,0.0,1339.1047103970648,248.597103737662,0.0,0.0
38,403,0.0,679.5324309213534,669.5119253437866,0.0,0.0
39,404,0.0,570.7093436581798,745.8318724915414,0.0,0.0
40,405,0.0,885.8324523546382,95.26176051270359,0.0,0.0
41,406,0.0,801.6839206509421,125.13526627266742,0.0,0.0
42,407,0.0,492.44280273825865,0.0,0.0,0.0
43,408,0.0,0.0,0.0,1057.0407634820258,0.0
44,409,0.0,1020.4986009711563,394.22623227076036,0.0,0.0
45,410,0.0,880.6326680406895,544.5991639086345,0.0,0.0
46,411,0.0,746.9780135748645,678.8672621688463,0.0,0.0
