,index,Path3,Path8,Path14,Path65,Path66
0,0,214.79326319805259,1312.4208718258064,499.82425271228465,146.8907593455675,0.0
1,1,140.75449362917783,1321.127915889834,470.38075794309503,309.63097216366657,0.0
2,2,66.55490254805267,1392.7079753475048,553.8183031106264,0.0,0.0
3,3,0.0,1311.0019146438424,0.0,0.0,0.0
4,4,0.0,1674.951638587253,312.163238083985,0.0,0.0
5,5,0.0,1331.6552327113714,747.9518293631737,0.0,0.0
6,6,0.0,1413.1805924466619,170.58723618861953,0.0,0.0
7,7,0.0,1628.0396901578488,867.7567120262115,0.0,0.0
8,8,556.6418040837098,1630.3750874893146,856.0240577668994,0.0,0.0
9,9,516.8737968994635,1839.4136915369095,1126.650464485326,678.7613606900012,0.0
10,10,0.0,1562.5764454260166,40.993603440390046,545.7183846030631,0.0
11,11,3.1092310180182214,1419.2506316745432,387.00074302399213,0.0,0.0
12,12,632.4331631160801,970.1887731467792,353.11082666504296,119.68497981309092,0.0
13,13,0.0,1156.906851997531,589.9600232371054,0.0,0.0
14,14,0.0,1967.2767031532846,648.8272425138408,0.0,0.0
15,15,0.0,1847.2570811421615,555.8600384531628,0.0,0.0
16,16,462.4858615586117,2114.784497478317,1166.744049008439,126.85681100850896,0.0
17,17,0.0,1605.5924143304142,762.7954892279704,76.6051050184023,0.0
18,18,0.0,1457.1916665391345,483.71223778480254,0.0,0.0
19,19,0.0,1197.9920866788354,11.019781255959556,0.0,0.0
20,20,0.0,1035.7553964620686,0.0,0.0,0.0
21,21,0.0,1238.0002049405678,669.1989141539317,0.0,0.0
22,22,0.0,685.9585730456128,0.0,0.0,0.0
23,23,0.0,610.7176721235485,50.49833238544653,0.0,0.0
24,24,0.0,1164.3736382487914,393.3263539426305,0.0,0.0
25,25,0.0,907.491039581151,140.09041727723735,0.0,0.0
26,26,0.0,997.8592359058639,386.4098495000846,0.0,0.0
27,27,0.0,1088.7517441390905,163.00503196400197,0.0,0.0
28,28,0.0,533.7667942148314,255.95412160176969,0.0,0.0
29,29,0.0,931.8109279041972,0.0,0.0,0.0
30,30,0.0,882.2515900863414,0.0,0.0,0.0
31,31,0.0,1223.6100310751806,204.86704807113,0.0,0.0
32,32,0.0,1343.151938247405,0.0,0.0,751.1529767325247
33,33,0.0,593.1112946852585,996.6391332353791,0.0,862.9159378612732
34,34,0.0,1138.482586274342,994.8296115721377,0.0,0.0
35,35,0.0,973.064837615504,1143.2289242157672,0.0,0.0
36,36,499.3705690359749,904.3836404737508,405.3898060507268,219.76037972745445,0.0
37,37,0.0,1458.3919006876388,496.4343424143906,0.0,0.0
38,38,0.0,1128.9420495845027,606.6534275731462,0.0,0.0
39,39,0.0,1460.8467905282714,936.5211621921468,0.0,0.0
40,40,0.0,1517.8586678958638,865.3592032833783,0.0,0.0
41,41,0.0,1183.6435595779085,910.2346196640044,0.0,0.0
42,42,0.0,1479.9776253741086,822.43745701023,0.0,0.0
43,43,0.0,1259.7689565277606,1147.3656835291733,0.0,0.0
44,44,0.0,1035.2365640965397,937.419075351145,0.0,0.0
45,45,0.0,1313.2117844678435,1215.129393535872,0.0,0.0
46,46,0.0,1411.7773391266592,1246.5312537773061,0.0,0.0
47,47,0.0,1035.02350289095,776.1643740507723,0.0,0.0
48,48,3.772452315889183,947.7140342420216,729.4536681278497,0.0,0.0
49,49,0.0,1207.4223597220034,757.1504912960853,0.0,0.0
50,50,0.0,1246.223859514394,680.8220205402912,0.0,0.0
51,51,0.0,1301.5417069260013,461.7300890499482,0.0,0.0
52,52,0.0,1340.9294641990455,580.7805133919979,0.0,0.0
53,53,0.0,1368.8182379918178,379.6938643319541,0.0,0.0
54,54,0.0,844.4616948744476,867.3314265024961,0.0,0.0
55,55,349.1217859007967,980.618898160884,632.5399627601216,798.1239361878047,0.0
56,56,611.9803088738894,1396.4602278670425,687.7337919380886,253.82836869606467,0.0
57,57,973.5850798754076,1272.6127330661272,496.8717652829169,471.44803958631087,0.0
58,58,645.5597701016172,919.3102234084712,292.29140656553767,0.0,0.0
59,59,0.0,1729.6076498057407,913.8272425024987,0.0,0.0
60,60,0.0,1449.6908202353425,550.6649545442033,0.0,0.0
61,61,0.0,1830.4161954792762,899.6402134058108,205.83971415967991,0.0
62,62,0.0,1365.7948940809588,660.5219761300913,0.0,0.0
63,63,0.0,1085.9915010896332,422.8979669718656,324.8937068965448,0.0
64,64,0.0,1217.6444078792968,740.158193006103,0.0,0.0
65,65,0.0,1135.327850283696,885.6443057859819,0.0,0.0
66,66,0.0,854.9593133547879,0.0,0.0,0.0
67,67,0.0,1253.2694677772895,723.7855684959277,0.0,0.0
68,68,0.0,876.1491840445004,357.65832323274736,0.0,0.0
69,69,0.0,491.75182783477305,246.4131869488105,0.0,0.0
70,70,0.0,1066.8833507033396,607.0078868532397,0.0,0.0
71,71,0.0,1335.7575555039175,260.5491858511481,0.0,0.0
72,72,0.0,1113.6795045423723,757.0277068729438,0.0,0.0
73,73,0.0,1128.7118114881548,782.7295078175197,0.0,0.0
74,74,0.0,1423.1046913821165,157.51351643233434,0.0,0.0
75,75,0.0,456.0956065345607,417.9111086648014,0.0,0.0
76,76,0.0,530.929578329359,816.5099154872572,0.0,0.0
77,77,0.0,544.7182428526844,478.3702351907912,0.0,0.0
78,78,0.0,656.5728090269823,578.3006321502178,0.0,0.0
79,79,0.0,431.7824332923015,284.51145504003836,0.0,0.0
80,80,0.0,533.1608211962384,506.92607490470664,2425.717521072048,0.0
81,81,0.0,451.39119486107313,209.5008127856479,0.0,0.0
82,82,0.0,638.2204232274448,663.5351647048367,0.0,0.0
83,83,0.0,1449.2281700050964,865.6487225253426,0.0,0.0
84,84,0.0,1336.0512298828814,957.4567845530768,0.0,0.0
85,85,0.0,1186.107442914188,501.64898268346695,0.0,0.0
86,86,0.0,854.4420999003262,448.3200222224065,0.0,0.0
87,87,0.0,821.0397759286345,350.29120824077444,0.0,0.0
88,88,0.0,476.12000752943635,471.01061102352014,0.0,0.0
89,89,0.0,982.1726536005092,795.3740001854085,0.0,0.0
90,90,0.0,327.0463624089596,315.4756596941473,0.0,0.0
91,91,0.0,848.4838219669132,1278.8815111338429,677.0691178313849,0.0
92,92,0.0,820.0326176110286,691.4097610441884,0.0,0.0
93,93,0.0,931.7393994786664,1092.676181142434,0.0,0.0
94,94,0.0,724.8146604731523,1156.3647156893414,0.0,0.0
95,95,0.0,287.2811132828818,990.7681067049147,257.9493816358156,0.0
96,96,0.0,508.7335985426741,1356.4304509950666,0.0,0.0
97,97,0.0,320.01520434882815,1011.3745362755867,0.0,0.0
98,98,0.0,934.4967446487557,861.4664007603078,0.0,0.0
99,99,0.0,628.6654451254609,1418.2609983617351,0.0,0.0
100,100,0.0,254.42133927817292,882.1478885956343,0.0,0.0
101,101,0.0,572.2902266967816,1073.4002214740638,0.0,0.0
102,102,0.0,644.1297188636786,1405.6379360839346,0.0,0.0
103,103,0.0,925.7512549260796,1097.0843930508909,0.0,0.0
104,104,0.0,0.0,504.4983012825474,0.0,0.0
105,105,0.0,254.5906883579676,563.0116205627322,0.0,0.0
106,106,0.0,954.1152182546904,1658.8108429747956,0.0,0.0
107,107,160.63997899296967,0.0,802.4991734400421,0.0,0.0
108,108,0.0,441.9589157438661,642.0717569518532,0.0,0.0
109,109,0.0,319.26387018321265,452.1755773710925,0.0,0.0
110,110,1962.463277374967,1135.2054775883405,0.0,0.0,0.0
111,111,196.5855735383654,411.9820335809155,650.159658478251,0.0,0.0
112,112,0.0,777.4360132749052,535.6417609052196,0.0,0.0
113,113,0.0,596.262101091,716.1725852281586,256.5204162471477,0.0
114,114,91.57275502486685,0.0,143.18211738363044,77.49342696121515,0.0
115,115,0.0,297.2568609019832,481.8670307183848,113.46436666596918,0.0
116,116,0.0,488.21761020282736,955.3429680033664,0.0,0.0
117,117,0.0,349.2329932407296,462.22900636936544,0.0,0.0
118,118,0.0,0.0,0.0,0.0,0.0
119,119,0.0,253.02044861544442,740.1344369183022,0.0,0.0
120,120,0.0,1968.2286298582903,0.0,0.0,0.0
121,121,0.0,1172.228975399223,368.1250319639904,518.6891219171532,0.0
122,122,0.0,794.9798935566155,346.54599283536436,509.8453993815732,0.0
123,123,20.303242968025955,1230.2723475323535,560.6101168228548,615.0607939613553,0.0
124,124,2301.72601496406,816.7494793300901,0.0,0.0,0.0
125,125,2577.733084518093,0.0,0.0,2170.9733550954934,695.2200917035684
126,126,1508.0825547837474,504.67091458349006,953.9468665395166,0.0,0.0
127,127,2173.650388703377,0.0,0.0,0.0,0.0
128,128,215.40291270747014,550.9642959258059,54.75697980371564,0.0,0.0
129,129,839.0654168432359,417.53027774845293,872.2011778907681,0.0,0.0
130,130,0.0,0.0,649.3361338509171,0.0,0.0
131,131,0.0,0.0,191.62597445669846,0.0,0.0
132,132,0.0,0.0,58.263009239664285,0.0,0.0
133,133,910.5075337940108,0.0,0.0,0.0,0.0
134,134,2778.352738106321,0.0,0.0,0.0,0.0
135,135,2036.4209334936413,0.0,0.0,0.0,0.0
136,136,1867.9613037478946,0.0,4.361361766714609,0.0,0.0
137,137,2588.325693758415,0.0,0.0,0.0,0.0
138,138,1076.0120326370115,0.0,90.69434632387444,0.0,0.0
139,139,2296.1091295405827,0.0,0.0,0.0,0.0
140,140,1063.1419509828606,0.0,0.0,0.0,0.0
141,141,938.2385178391876,0.0,0.0,0.0,0.0
142,142,913.3938451075243,0.0,0.0,0.0,0.0
143,143,1219.5391090362734,0.0,0.0,0.0,0.0
144,144,203.77061477424962,0.0,522.9164783349145,0.0,0.0
145,145,416.86621287073433,0.0,81.85642349381719,0.0,0.0
146,146,2416.5455346327553,0.0,0.0,0.0,0.0
147,147,2517.8830117338684,0.0,0.0,267.6508421329303,0.0
148,148,366.7112997066735,0.0,860.700993184616,0.0,0.0
149,149,1024.2077912440636,0.0,0.0,0.0,0.0
150,150,1000.245467794426,0.0,73.91074670928295,0.0,0.0
151,151,0.0,0.0,0.0,0.0,0.0
152,152,940.3563527866963,0.0,0.0,0.0,0.0
153,153,302.45195684772665,0.0,0.0,0.0,0.0
154,154,151.24649951573628,0.0,0.0,0.0,0.0
155,155,0.0,0.0,0.0,0.0,0.0
156,156,0.0,0.0,223.34624668230987,0.0,0.0
157,157,161.3657100120725,0.0,0.0,0.0,0.0
158,158,0.0,0.0,0.0,0.0,0.0
159,159,0.0,0.0,0.0,0.0,0.0
160,160,0.0,0.0,0.0,0.0,0.0
161,161,0.0,78.45256800594728,654.0830416819224,0.0,0.0
162,162,995.0889609832004,0.0,0.0,0.0,0.0
163,163,0.0,222.46194184269532,612.5786737115358,0.0,0.0
164,164,650.6624439991202,172.72042617090653,0.0,0.0,0.0
165,165,0.0,827.337855719212,521.3774911444025,0.0,0.0
166,166,0.0,361.26307505278106,292.4856719120622,0.0,0.0
167,167,0.0,408.3159273640175,865.3638548250548,0.0,0.0
168,168,0.0,0.0,0.0,0.0,0.0
169,169,0.0,0.0,109.46081657932824,0.0,0.0
170,170,0.0,275.62195901068003,0.0,0.0,0.0
171,171,0.0,850.5686232521896,573.8501254004891,0.0,0.0
172,172,0.0,630.068944772092,115.5688053363648,0.0,0.0
173,173,0.0,548.1631590559784,0.0,0.0,0.0
174,174,0.0,0.0,0.0,0.0,0.0
175,175,0.0,522.2777730137797,164.22735495704234,0.0,0.0
176,176,0.0,244.64943668448797,0.0,0.0,0.0
177,177,0.0,538.3731523211942,0.0,0.0,0.0
178,178,0.0,632.0597473574772,183.42673838198985,0.0,0.0
