,Source,Sink,Time,Value
129,SDGE,SDGE,10,0.0
130,SDGE,SDGE,11,0.0
131,SDGE,SDGE,12,0.0
132,SDGE,SDGE,13,0.0
133,SDGE,SDGE,14,0.0
134,SDGE,SDGE,15,0.0
135,SDGE,SDGE,16,0.0
136,SDGE,SDGE,17,0.0
137,SDGE,SDGE,18,0.0
138,SDGE,SDGE,19,0.0
139,SDGE,SDGE,20,0.0
140,SDGE,SDGE,21,0.0
141,SDGE,SDGE,22,0.0
142,SDGE,SDGE,23,0.0
143,SDGE,SDGE,24,0.0
144,SDGE,SCE,1,0.0
145,SDGE,SCE,2,0.0
146,SDGE,SCE,3,0.0
147,SDGE,SCE,4,0.0
148,SDGE,SCE,5,0.0
149,SDGE,SCE,6,0.0
150,SDGE,SCE,7,0.0
151,SDGE,SCE,8,0.0
152,SDGE,SCE,9,0.0
153,SDGE,SCE,10,0.0
154,SDGE,SCE,11,0.0
155,SDGE,SCE,12,0.0
156,SDGE,SCE,13,0.0
157,SDGE,SCE,14,0.0
158,SDGE,SCE,15,0.0
159,SDGE,SCE,16,0.0
160,SDGE,SCE,17,0.0
161,SDGE,SCE,18,0.0
162,SDGE,SCE,19,0.0
163,SDGE,SCE,20,0.0
164,SDGE,SCE,21,0.0
165,SDGE,SCE,22,0.0
166,SDGE,SCE,23,0.0
167,SDGE,SCE,24,0.0
168,SDGE,PGE_bay,1,0.0
169,SDGE,PGE_bay,2,0.0
170,SDGE,PGE_bay,3,0.0
171,SDGE,PGE_bay,4,0.0
172,SDGE,PGE_bay,5,0.0
173,SDGE,PGE_bay,6,0.0
174,SDGE,PGE_bay,7,0.0
175,SDGE,PGE_bay,8,0.0
176,SDGE,PGE_bay,9,0.0
177,SDGE,PGE_bay,10,0.0
178,SDGE,PGE_bay,11,0.0
179,SDGE,PGE_bay,12,0.0
180,SDGE,PGE_bay,13,0.0
181,SDGE,PGE_bay,14,0.0
182,SDGE,PGE_bay,15,0.0
183,SDGE,PGE_bay,16,0.0
184,SDGE,PGE_bay,17,0.0
185,SDGE,PGE_bay,18,0.0
186,SDGE,PGE_bay,19,0.0
187,SDGE,PGE_bay,20,0.0
188,SDGE,PGE_bay,21,0.0
189,SDGE,PGE_bay,22,0.0
190,SDGE,PGE_bay,23,0.0
191,SDGE,PGE_bay,24,0.0
192,SCE,PGE_valley,1,0.0
193,SCE,PGE_valley,2,0.0
194,SCE,PGE_valley,3,0.0
195,SCE,PGE_valley,4,0.0
196,SCE,PGE_valley,5,0.0
197,SCE,PGE_valley,6,0.0
198,SCE,PGE_valley,7,0.0
199,SCE,PGE_valley,8,0.0
200,SCE,PGE_valley,9,0.0
201,SCE,PGE_valley,10,1756.7637309626446
202,SCE,PGE_valley,11,2130.8520366092825
203,SCE,PGE_valley,12,2655.303152136161
204,SCE,PGE_valley,13,2518.423827939865
205,SCE,PGE_valley,14,1692.6283630892847
206,SCE,PGE_valley,15,1567.0046899054146
207,SCE,PGE_valley,16,0.0
208,SCE,PGE_valley,17,0.0
209,SCE,PGE_valley,18,0.0
210,SCE,PGE_valley,19,0.0
211,SCE,PGE_valley,20,0.0
212,SCE,PGE_valley,21,0.0
213,SCE,PGE_valley,22,0.0
214,SCE,PGE_valley,23,0.0
