,Constraint,Time,Value
0,Bal1Constraint,1,37.6074
1,Bal1Constraint,2,37.6074
2,Bal1Constraint,3,37.6074
3,Bal1Constraint,4,37.6074
4,Bal1Constraint,5,37.6074
5,Bal1Constraint,6,37.6074
6,Bal1Constraint,7,37.6074
7,Bal1Constraint,8,37.6074
8,Bal1Constraint,9,37.6074
9,Bal1Constraint,10,37.6074
10,Bal1Constraint,11,35.3656
11,Bal1Constraint,12,31.9638
12,Bal1Constraint,13,31.9638
13,Bal1Constraint,14,36.489000000000004
14,Bal1Constraint,15,37.6024
15,Bal1Constraint,16,37.6074
16,Bal1Constraint,17,37.612399999999994
17,Bal1Constraint,18,37.6074
18,Bal1Constraint,19,37.6074
19,Bal1Constraint,20,37.6074
20,Bal1Constraint,21,37.6074
21,Bal1Constraint,22,37.6074
22,Bal1Constraint,23,37.6074
23,Bal1Constraint,24,37.6074
24,Bal2Constraint,1,37.6074
25,Bal2Constraint,2,37.6074
26,Bal2Constraint,3,37.6074
27,Bal2Constraint,4,37.6074
28,Bal2Constraint,5,37.6074
29,Bal2Constraint,6,37.6074
30,Bal2Constraint,7,37.6074
31,Bal2Constraint,8,37.6074
32,Bal2Constraint,9,37.6074
33,Bal2Constraint,10,37.6074
34,Bal2Constraint,11,35.3656
35,Bal2Constraint,12,31.9638
36,Bal2Constraint,13,31.9638
37,Bal2Constraint,14,36.489000000000004
38,Bal2Constraint,15,37.6024
39,Bal2Constraint,16,37.6074
40,Bal2Constraint,17,37.612399999999994
41,Bal2Constraint,18,37.6074
42,Bal2Constraint,19,37.6074
43,Bal2Constraint,20,37.6074
44,Bal2Constraint,21,37.6074
45,Bal2Constraint,22,37.6074
46,Bal2Constraint,23,37.6074
47,Bal2Constraint,24,37.6074
48,Bal3Constraint,1,36.4268
49,Bal3Constraint,2,36.3821
50,Bal3Constraint,3,36.3821
51,Bal3Constraint,4,36.3821
52,Bal3Constraint,5,36.3821
53,Bal3Constraint,6,36.3821
54,Bal3Constraint,7,36.3821
55,Bal3Constraint,8,36.3821
56,Bal3Constraint,9,28.0601
57,Bal3Constraint,10,27.647399999999998
58,Bal3Constraint,11,25.4056
59,Bal3Constraint,12,22.0038
60,Bal3Constraint,13,22.0038
61,Bal3Constraint,14,26.529000000000003
62,Bal3Constraint,15,27.642400000000002
63,Bal3Constraint,16,30.384499999999996
64,Bal3Constraint,17,37.8572
65,Bal3Constraint,18,43.3174
66,Bal3Constraint,19,43.3174
67,Bal3Constraint,20,43.3174
68,Bal3Constraint,21,43.3174
69,Bal3Constraint,22,43.3174
70,Bal3Constraint,23,43.3174
71,Bal3Constraint,24,43.3174
72,Bal4Constraint,1,38.483000000000004
73,Bal4Constraint,2,39.458600000000004
74,Bal4Constraint,3,39.458600000000004
75,Bal4Constraint,4,39.458600000000004
76,Bal4Constraint,5,39.458600000000004
77,Bal4Constraint,6,39.458600000000004
78,Bal4Constraint,7,39.458600000000004
79,Bal4Constraint,8,39.458600000000004
80,Bal4Constraint,9,38.0201
81,Bal4Constraint,10,37.1342
82,Bal4Constraint,11,34.0052
83,Bal4Constraint,12,26.837199999999996
84,Bal4Constraint,13,26.837199999999996
85,Bal4Constraint,14,34.0052
86,Bal4Constraint,15,32.843
87,Bal4Constraint,16,38.3489
88,Bal4Constraint,17,39.458600000000004
89,Bal4Constraint,18,53.2774
90,Bal4Constraint,19,53.2774
91,Bal4Constraint,20,53.2774
92,Bal4Constraint,21,53.2774
93,Bal4Constraint,22,53.2774
94,Bal4Constraint,23,53.2774
95,Bal4Constraint,24,39.824
96,Bal1Constraint,25,32.3832
97,Bal1Constraint,26,32.3832
98,Bal1Constraint,27,32.3832
99,Bal1Constraint,28,32.3832
100,Bal1Constraint,29,32.3832
101,Bal1Constraint,30,32.3832
102,Bal1Constraint,31,32.3832
103,Bal1Constraint,32,32.3832
104,Bal1Constraint,33,32.3832
105,Bal1Constraint,34,28.194200000000002
106,Bal1Constraint,35,28.520400000000002
107,Bal1Constraint,36,28.194200000000002
108,Bal1Constraint,37,28.194200000000002
109,Bal1Constraint,38,28.520400000000002
110,Bal1Constraint,39,32.3832
111,Bal1Constraint,40,32.3832
112,Bal1Constraint,41,32.3832
113,Bal1Constraint,42,32.3832
114,Bal1Constraint,43,32.383199999999995
115,Bal1Constraint,44,32.3832
116,Bal1Constraint,45,32.3832
117,Bal1Constraint,46,32.3832
118,Bal1Constraint,47,32.3832
119,Bal1Constraint,48,32.3832
120,Bal2Constraint,25,32.3832
121,Bal2Constraint,26,32.3832
122,Bal2Constraint,27,32.3832
123,Bal2Constraint,28,32.3832
124,Bal2Constraint,29,32.3832
125,Bal2Constraint,30,32.3832
126,Bal2Constraint,31,32.3832
127,Bal2Constraint,32,32.3832
128,Bal2Constraint,33,32.3832
129,Bal2Constraint,34,28.194200000000002
130,Bal2Constraint,35,28.520400000000002
131,Bal2Constraint,36,28.194200000000002
