,Generator,Time,Value,Zones,Type,$/MWh
0,DISCOV_1_CHEVRN,1,0.0,PGE_valley,Gas,37.979000000000006
1,DISCOV_1_CHEVRN,2,0.0,PGE_valley,Gas,37.979000000000006
2,DISCOV_1_CHEVRN,3,0.0,PGE_valley,Gas,37.979000000000006
3,DISCOV_1_CHEVRN,4,0.0,PGE_valley,Gas,37.979000000000006
4,DISCOV_1_CHEVRN,5,0.0,PGE_valley,Gas,37.979000000000006
5,DISCOV_1_CHEVRN,6,0.0,PGE_valley,Gas,37.979000000000006
6,DISCOV_1_CHEVRN,7,0.0,PGE_valley,Gas,37.979000000000006
7,DISCOV_1_CHEVRN,8,0.0,PGE_valley,Gas,37.979000000000006
8,DISCOV_1_CHEVRN,9,0.0,PGE_valley,Gas,37.979000000000006
9,DISCOV_1_CHEVRN,10,0.0,PGE_valley,Gas,37.979000000000006
10,DISCOV_1_CHEVRN,11,0.0,PGE_valley,Gas,37.979000000000006
11,DISCOV_1_CHEVRN,12,0.0,PGE_valley,Gas,37.979000000000006
12,DISCOV_1_CHEVRN,13,0.0,PGE_valley,Gas,37.979000000000006
13,DISCOV_1_CHEVRN,14,0.0,PGE_valley,Gas,37.979000000000006
14,DISCOV_1_CHEVRN,15,0.0,PGE_valley,Gas,37.979000000000006
15,DISCOV_1_CHEVRN,16,0.0,PGE_valley,Gas,37.979000000000006
16,DISCOV_1_CHEVRN,17,0.0,PGE_valley,Gas,37.979000000000006
17,DISCOV_1_CHEVRN,18,0.0,PGE_valley,Gas,37.979000000000006
18,DISCOV_1_CHEVRN,19,0.0,PGE_valley,Gas,37.979000000000006
19,DISCOV_1_CHEVRN,20,0.0,PGE_valley,Gas,37.979000000000006
20,DISCOV_1_CHEVRN,21,0.0,PGE_valley,Gas,37.979000000000006
21,DISCOV_1_CHEVRN,22,0.0,PGE_valley,Gas,37.979000000000006
22,DISCOV_1_CHEVRN,23,0.0,PGE_valley,Gas,37.979000000000006
23,DISCOV_1_CHEVRN,24,0.0,PGE_valley,Gas,37.979000000000006
24,CHEVCD_6_UNIT,1,0.0,PGE_valley,Gas,37.979000000000006
25,CHEVCD_6_UNIT,2,0.0,PGE_valley,Gas,37.979000000000006
26,CHEVCD_6_UNIT,3,0.0,PGE_valley,Gas,37.979000000000006
27,CHEVCD_6_UNIT,4,0.0,PGE_valley,Gas,37.979000000000006
28,CHEVCD_6_UNIT,5,0.0,PGE_valley,Gas,37.979000000000006
29,CHEVCD_6_UNIT,6,0.0,PGE_valley,Gas,37.979000000000006
30,CHEVCD_6_UNIT,7,0.0,PGE_valley,Gas,37.979000000000006
31,CHEVCD_6_UNIT,8,0.0,PGE_valley,Gas,37.979000000000006
32,CHEVCD_6_UNIT,9,0.0,PGE_valley,Gas,37.979000000000006
33,CHEVCD_6_UNIT,10,0.0,PGE_valley,Gas,37.979000000000006
34,CHEVCD_6_UNIT,11,0.0,PGE_valley,Gas,37.979000000000006
35,CHEVCD_6_UNIT,12,0.0,PGE_valley,Gas,37.979000000000006
36,CHEVCD_6_UNIT,13,0.0,PGE_valley,Gas,37.979000000000006
37,CHEVCD_6_UNIT,14,0.0,PGE_valley,Gas,37.979000000000006
38,CHEVCD_6_UNIT,15,0.0,PGE_valley,Gas,37.979000000000006
39,CHEVCD_6_UNIT,16,0.0,PGE_valley,Gas,37.979000000000006
40,CHEVCD_6_UNIT,17,0.0,PGE_valley,Gas,37.979000000000006
41,CHEVCD_6_UNIT,18,0.0,PGE_valley,Gas,37.979000000000006
