,Zone,Time,Value
0,SDGE,1,67.80601127428147
1,SDGE,2,82.50081247923411
2,SDGE,3,87.95888149821653
3,SDGE,4,84.49510692847771
4,SDGE,5,72.84422883026524
5,SDGE,6,58.464316222561585
6,SDGE,7,63.3975709127957
7,SDGE,8,49.857361231089335
8,SDGE,9,45.868772332602184
9,SDGE,10,51.32684135158459
10,SDGE,11,55.4203931158214
11,SDGE,12,69.59037999202575
12,SDGE,13,53.950912995326135
13,SDGE,14,37.89159453562789
14,SDGE,15,40.51566617936943
15,SDGE,16,31.908711187897172
16,SDGE,17,23.72160765942355
17,SDGE,18,12.490581024209748
18,SDGE,19,7.87221493122463
19,SDGE,20,5.98288334773072
20,SDGE,21,6.297771944979704
21,SDGE,22,4.933254690234102
22,SDGE,23,3.2538488382395134
23,SDGE,24,3.5687374354884995
24,SCE,1,426.84439884137845
25,SCE,2,519.3493769184573
26,SCE,3,553.7083687756581
27,SCE,4,531.9036239432039
28,SCE,5,458.5603913249484
29,SCE,6,368.03766277809257
30,SCE,7,399.0929054182549
31,SCE,8,313.85617561866076
32,SCE,9,288.74768156916787
33,SCE,10,323.10667342636856
34,SCE,11,348.87591731926915
35,SCE,12,438.0771461793096
36,SCE,13,339.62541951156123
37,SCE,14,238.53069347018211
38,SCE,15,255.0494395553748
39,SCE,16,200.86795239594284
40,SCE,17,149.32946461014168
41,SCE,18,78.6292313655171
42,SCE,19,49.556238255578
43,SCE,20,37.662741074239285
44,SCE,21,39.6449906044624
45,SCE,22,31.055242640162213
46,SCE,23,20.483245145638904
47,SCE,24,22.46549467586203
48,PGE_valley,1,60.46962316919528
49,PGE_valley,2,73.57449506344813
50,PGE_valley,3,78.4420189098849
51,PGE_valley,4,75.35301339195388
52,PGE_valley,5,64.96272210436769
53,PGE_valley,6,52.138668893563114
54,PGE_valley,7,56.53816160091944
55,PGE_valley,8,44.4629582126436
56,PGE_valley,9,40.90592155563211
57,PGE_valley,10,45.77344540206888
58,PGE_valley,11,49.424088286896456
59,PGE_valley,12,62.06092904206886
60,PGE_valley,13,48.113601097471175
61,PGE_valley,14,33.79184824160913
62,PGE_valley,15,36.132003937011426
63,PGE_valley,16,28.456293256091904
64,PGE_valley,17,21.15500748643674
65,PGE_valley,18,11.139141110114922
66,PGE_valley,19,7.020467086206883
67,PGE_valley,20,5.3355549855172315
68,PGE_valley,21,5.616373668965506
69,PGE_valley,22,4.3994927073563135
70,PGE_valley,23,2.901793062298845
71,PGE_valley,24,3.182611745747121
72,PGE_bay,1,113.38054344224115
73,PGE_bay,2,137.95217824396525
74,PGE_bay,3,147.07878545603418
75,PGE_bay,4,141.28690010991355
76,PGE_bay,5,121.80510394568941
77,PGE_bay,6,97.76000417543084
78,PGE_bay,7,106.00905300172396
79,PGE_bay,8,83.36804664870675
80,PGE_bay,9,76.6986029168102
81,PGE_bay,10,85.82521012887915
82,PGE_bay,11,92.67016553793086
83,PGE_bay,12,116.36424195387912
84,PGE_bay,13,90.21300205775846
85,PGE_bay,14,63.359715453017124
86,PGE_bay,15,67.74750738189643
87,PGE_bay,16,53.35554985517232
88,PGE_bay,17,39.665639037068885
89,PGE_bay,18,20.88588958146548
90,PGE_bay,19,13.163375786637907
91,PGE_bay,20,10.004165597844809
92,PGE_bay,21,10.530700629310324
93,PGE_bay,22,8.249048826293087
94,PGE_bay,23,5.440861991810334
95,PGE_bay,24,5.9673970232758515
96,SDGE,25,59.974789729495086
97,SDGE,26,64.24451813738962
98,SDGE,27,46.47053243941011
99,SDGE,28,37.93107562362107
100,SDGE,29,30.88105895012082
101,SDGE,30,30.980354959606725
102,SDGE,31,22.242306124845864
103,SDGE,32,19.462017859240134
104,SDGE,33,23.63245025764873
105,SDGE,34,23.235266219705053
106,SDGE,35,17.87328170746543
107,SDGE,36,17.77398569797951
108,SDGE,37,15.688769498775208
109,SDGE,38,11.915521138310284
110,SDGE,39,15.589473489289293
111,SDGE,40,27.405698618113664
112,SDGE,41,35.4486753864731
113,SDGE,42,39.22192374693801
114,SDGE,43,48.05926859118482
115,SDGE,44,43.69024417380439
116,SDGE,45,42.59798806945927
117,SDGE,46,41.90291600305785
118,SDGE,47,51.63392493267789
119,SDGE,48,58.485349587206315
120,SCE,25,377.54621731354285
121,SCE,26,404.42450761897726
122,SCE,27,292.5358107661226
123,SCE,28,238.77923015525394
124,SCE,29,194.39879732535073
125,SCE,30,195.0238738440817
126,SCE,31,140.017140195751
127,SCE,32,122.51499767128215
128,SCE,33,148.76821145798547
129,SCE,34,146.2679053830613
130,SCE,35,112.51377337158566
131,SCE,36,111.88869685285461
132,SCE,37,98.76208995950294
133,SCE,38,75.00918224772376
134,SCE,39,98.13701344077194
135,SCE,40,172.5211191697647
136,SCE,41,223.1523171869782
137,SCE,42,246.9052248987573
138,SCE,43,302.53703506581917
139,SCE,44,275.03366824165386
140,SCE,45,268.15782653561246
141,SCE,46,263.78229090449526
142,SCE,47,325.03978974013626
143,SCE,48,368.17006953257743
144,PGE_valley,25,53.48571411941857
145,PGE_valley,26,57.293471912688446
146,PGE_valley,27,41.442573191867375
147,PGE_valley,28,33.82705760532764
148,PGE_valley,29,27.539829621091354
149,PGE_valley,30,27.62838212791157
150,PGE_valley,31,19.835761527731393
151,PGE_valley,32,17.356291336764972
152,PGE_valley,33,21.075496623214605
153,PGE_valley,34,20.721286595933687
154,PGE_valley,35,15.939451227641301
155,PGE_valley,36,15.85089872082107
156,PGE_valley,37,13.991296077596251
157,PGE_valley,38,10.626300818427532
158,PGE_valley,39,13.902743570776025
