,Generator,Time,Value,Zones
98,LAPLMA_2_UNIT2,3,-0.0,PGE_valley
99,LAPLMA_2_UNIT2,4,-0.0,PGE_valley
100,LAPLMA_2_UNIT2,5,-0.0,PGE_valley
101,LAPLMA_2_UNIT2,6,-0.0,PGE_valley
102,LAPLMA_2_UNIT2,7,-0.0,PGE_valley
103,LAPLMA_2_UNIT2,8,-0.0,PGE_valley
104,LAPLMA_2_UNIT2,9,-0.0,PGE_valley
105,LAPLMA_2_UNIT2,10,-0.0,PGE_valley
106,LAPLMA_2_UNIT2,11,-0.0,PGE_valley
107,LAPLMA_2_UNIT2,12,-0.0,PGE_valley
108,LAPLMA_2_UNIT2,13,-0.0,PGE_valley
109,LAPLMA_2_UNIT2,14,-0.0,PGE_valley
110,LAPLMA_2_UNIT2,15,-0.0,PGE_valley
111,LAPLMA_2_UNIT2,16,-0.0,PGE_valley
112,LAPLMA_2_UNIT2,17,-0.0,PGE_valley
113,LAPLMA_2_UNIT2,18,-0.0,PGE_valley
114,LAPLMA_2_UNIT2,19,-0.0,PGE_valley
115,LAPLMA_2_UNIT2,20,-0.0,PGE_valley
116,LAPLMA_2_UNIT2,21,-0.0,PGE_valley
117,LAPLMA_2_UNIT2,22,-0.0,PGE_valley
118,LAPLMA_2_UNIT2,23,-0.0,PGE_valley
119,LAPLMA_2_UNIT2,24,-0.0,PGE_valley
120,SARGNT_2_UNIT,1,0.0,PGE_valley
121,SARGNT_2_UNIT,2,0.0,PGE_valley
122,SARGNT_2_UNIT,3,0.0,PGE_valley
123,SARGNT_2_UNIT,4,0.0,PGE_valley
124,SARGNT_2_UNIT,5,0.0,PGE_valley
125,SARGNT_2_UNIT,6,0.0,PGE_valley
126,SARGNT_2_UNIT,7,0.0,PGE_valley
127,SARGNT_2_UNIT,8,0.0,PGE_valley
128,SARGNT_2_UNIT,9,0.0,PGE_valley
129,SARGNT_2_UNIT,10,0.0,PGE_valley
130,SARGNT_2_UNIT,11,0.0,PGE_valley
131,SARGNT_2_UNIT,12,0.0,PGE_valley
132,SARGNT_2_UNIT,13,0.0,PGE_valley
133,SARGNT_2_UNIT,14,0.0,PGE_valley
134,SARGNT_2_UNIT,15,0.0,PGE_valley
135,SARGNT_2_UNIT,16,0.0,PGE_valley
136,SARGNT_2_UNIT,17,0.0,PGE_valley
137,SARGNT_2_UNIT,18,0.0,PGE_valley
138,SARGNT_2_UNIT,19,0.0,PGE_valley
139,SARGNT_2_UNIT,20,0.0,PGE_valley
140,SARGNT_2_UNIT,21,0.0,PGE_valley
141,SARGNT_2_UNIT,22,0.0,PGE_valley
142,SARGNT_2_UNIT,23,0.0,PGE_valley
143,SARGNT_2_UNIT,24,0.0,PGE_valley
144,LAPLMA_2_UNIT1,1,-0.0,PGE_valley
