,index,PNW
0,1460,69173.98017676198
1,1461,99586.91151239688
2,1462,105691.32272106357
3,1463,104024.15841775679
4,1464,100676.26921967068
5,1465,102574.44542758787
6,1466,101164.38008378417
7,1467,92593.32115798816
8,1468,95824.77530592246
9,1469,100999.71159880556
10,1470,104172.74301616696
11,1471,105324.45450515638
12,1472,104116.25324245347
13,1473,108811.75664541338
14,1474,106767.52617890618
15,1475,107278.52363436026
16,1476,114396.96278690931
17,1477,115351.8584993585
18,1478,114064.14464390979
19,1479,141327.54482296834
20,1480,154769.0973324228
21,1481,154754.83344531828
22,1482,159502.2853125218
23,1483,185098.93586374095
24,1484,192940.2304904776
25,1485,200854.6261329983
26,1486,212692.47513434108
27,1487,210221.79634663777
28,1488,194918.63013599953
29,1489,191099.70548487292
30,1490,202047.20775918142
31,1491,188059.29070650117
32,1492,191753.1709694077
33,1493,184186.61376189932
34,1494,170676.6934314158
35,1495,154763.8109380175
36,1496,153680.11829074286
37,1497,150630.31006885864
38,1498,146362.8546926201
39,1499,144547.46669576215
40,1500,151915.39475177662
41,1501,160356.15144227378
42,1502,164133.56753607
43,1503,176086.14298192685
44,1504,212620.43210722163
45,1505,247132.21298861393
46,1506,304326.36917799216
47,1507,339043.63397465285
48,1508,365694.3656504682
49,1509,389400.7072791937
50,1510,390555.4321371602
51,1511,387228.8853439567
52,1512,387664.530301171
53,1513,399610.3614168785
54,1514,376896.0979483243
55,1515,338975.8443188017
56,1516,303179.8471784243
57,1517,289234.29401587805
58,1518,263859.53922527086
59,1519,270283.80450213066
60,1520,227025.77925774056
61,1521,225055.79441217968
62,1522,230170.85770232408
63,1523,221934.3245795522
64,1524,207421.78022465066
65,1525,204771.43706063053
66,1526,195810.5641871388
67,1527,203653.0919271769
68,1528,225964.2559250217
69,1529,232482.37744762277
70,1530,252743.2420776079
71,1531,264161.1548209151
72,1532,255622.0987042584
73,1533,237205.83838003356
74,1534,222317.5153206875
75,1535,226739.13355800317
76,1536,206930.19552538195
77,1537,212996.76075389647
78,1538,260724.92871562752
79,1539,262090.2544305144
80,1540,260358.4233984588
81,1541,249824.3415542143
82,1542,240912.22819710895
83,1543,180131.17060930913
84,1544,198459.79359235545
85,1545,210910.31689461
86,1546,213352.14324368228
87,1547,211504.58320142224
88,1548,199798.88824496776
89,1549,205436.3681979563
90,1550,173075.9534860502
91,1551,142146.37197739774
92,1552,130857.65239207496
93,1553,142940.49052271215
94,1554,136609.99358808875
95,1555,129852.74915925274
96,1556,132464.81749002665
97,1557,125241.43445686734
98,1558,117604.74393587469
99,1559,125233.07546735364
100,1560,145814.61280812894
101,1561,173488.51596186103
102,1562,216692.09393471168
103,1563,259472.9925138191
104,1564,281924.8352108987
105,1565,236216.24732416836
106,1566,216420.73553426913
107,1567,196440.8073845962
108,1568,173165.09307757436
109,1569,158973.77636500605
110,1570,148773.56490752936
111,1571,144865.99551971647
112,1572,157633.31795424328
113,1573,239122.63412370498
114,1574,248104.59859033054
115,1575,257847.51874054826
116,1576,284033.6825614332
117,1577,286574.24731475435
118,1578,296306.14285228786
119,1579,295989.81907208206
120,1580,101121.20925953181
121,1581,107498.97444975295
122,1582,117380.72670128552
123,1583,117674.5571129893
124,1584,107159.89871826631
125,1585,99518.43476041163
126,1586,99496.13075467694
127,1587,104321.20748207187
128,1588,98977.49644338634
129,1589,98877.95228909946
130,1590,94844.5790801657
131,1591,91940.28075596949
132,1592,93707.21682274791
133,1593,100686.8265986891
134,1594,114263.21480928911
135,1595,126544.06809421601
136,1596,178707.30642336578
137,1597,252750.07454123918
138,1598,304209.8846828739
139,1599,378254.0635603166
140,1600,378067.8564028736
141,1601,369663.9256103172
142,1602,373001.8079487559
143,1603,382345.7314168083
144,1604,393474.0760561637
145,1605,402430.93383819703
146,1606,407048.977538403
147,1607,406780.18944504054
148,1608,397302.60032544617
149,1609,371633.0118626772
150,1610,341226.7297485303
151,1611,357559.27349888725
152,1612,363391.7413738889
153,1613,358436.31876034563
154,1614,375868.2531329097
155,1615,367310.85089492524
156,1616,381291.8911073314
157,1617,378405.07121953706
158,1618,384980.8215701211
159,1619,345600.5960947848
160,1620,352786.2567874164
161,1621,353062.8530278073
162,1622,387511.86017814506
163,1623,401656.64332615724
164,1624,424104.58487516444
165,1625,427191.7766164826
166,1626,440152.72060097987
167,1627,441275.13196856284
168,1628,442015.79178434843
169,1629,442480.323413213
170,1630,445728.32351462793
171,1631,446935.91709476174
172,1632,449276.2204069579
173,1633,450664.18054965173
174,1634,453726.21274954366
175,1635,457231.04902234883
176,1636,458059.0168098808
177,1637,441740.5247556814
178,1638,447040.83217689436
179,1639,446830.7910003773
180,1640,443076.61712881376
181,1641,441426.11672418984
182,1642,443314.7954652213
183,1643,438525.2970175201
184,1644,435618.3454217332
185,1645,422531.21558178146
186,1646,407213.72268649295
187,1647,366454.8694496291
188,1648,338446.7889912913
189,1649,333822.3955843568
190,1650,317876.2155788961
191,1651,315118.97375765187
192,1652,306610.9433940104
193,1653,327987.62534386705
194,1654,314918.1285743769
195,1655,320787.23506789096
196,1656,344403.2975917149
197,1657,308423.44511032966
198,1658,298498.0215003242
199,1659,299342.9912195903
200,1660,284375.16215493256
201,1661,285909.41147175664
202,1662,275491.7414703921
203,1663,253800.25713310722
204,1664,247404.69162814965
205,1665,242686.3830360952
206,1666,240274.84249659267
207,1667,238282.73826457866
208,1668,217020.19387720205
209,1669,208690.18182484334
210,1670,216360.36326731235
211,1671,221382.81264185143
212,1672,201664.9830152958
213,1673,154298.57497435383
214,1674,153918.14061889934
215,1675,170884.16536108442
216,1676,153751.20121211503
217,1677,122048.13160600561
218,1678,118638.55867369354
219,1679,194983.75652062436
220,1680,186654.6474045451
221,1681,180749.8771084285
222,1682,199353.65016616604
223,1683,200202.36804577673
224,1684,208402.0136412856
225,1685,213175.0083655853
226,1686,207231.12083853706
227,1687,199917.44462226128
228,1688,187664.79445097217
229,1689,172475.2419428594
230,1690,168465.87485650374
231,1691,173553.62605155306
232,1692,183243.2557672551
233,1693,178081.9002324936
234,1694,173274.28019478655
235,1695,160112.8089087738
236,1696,160144.092711455
237,1697,162756.9485645726
238,1698,163631.09755731185
239,1699,163081.47193076988
240,1700,173094.617298781
241,1701,157560.50098889065
242,1702,217827.33255225795
243,1703,135323.50168056294
244,1704,121054.22346686882
245,1705,104161.59135150329
246,1706,103988.00617875237
247,1707,120728.31872936277
248,1708,143683.30833503918
249,1709,116566.74429371202
250,1710,94322.95621048
251,1711,101729.45618583972
252,1712,108223.64855931746
253,1713,120571.08971259517
254,1714,110551.04851933847
255,1715,100740.81999435855
256,1716,94614.36942070523
257,1717,90422.42723301116
258,1718,82082.67105770312
259,1719,73918.94733347312
260,1720,80734.33936820799
261,1721,83214.55609015444
262,1722,100291.6613889601
263,1723,107990.30106915307
264,1724,103724.84220486022
265,1725,115510.78482748763
266,1726,106510.38186749449
267,1727,117244.28484139362
268,1728,109520.83396174057
269,1729,106234.98857228961
270,1730,125990.28469137059
271,1731,132417.67954932444
272,1732,117984.00204360111
273,1733,125415.62155706204
274,1734,147939.97176429478
275,1735,143037.60776429856
276,1736,143831.70020092832
277,1737,139248.56125382133
278,1738,143542.74588506823
279,1739,139866.13396562135
280,1740,140536.3112363155
281,1741,141796.15002723812
282,1742,142278.04883764905
283,1743,131758.4159072945
284,1744,130758.61352920579
285,1745,118058.69728324462
286,1746,123878.17488579935
287,1747,113148.6765026173
288,1748,133417.3028591471
289,1749,137316.57276285166
290,1750,127920.73842613772
291,1751,121985.7962152802
292,1752,112955.81824075716
293,1753,119966.6743595922
294,1754,119867.56706058964
295,1755,131721.36270661655
296,1756,145389.80748638482
297,1757,143487.2526924197
298,1758,124466.39793017738
299,1759,127215.07118272828
300,1760,141693.40312385425
301,1761,130203.7461706606
302,1762,133075.49711998107
303,1763,142788.4314921408
304,1764,117148.49528707344
305,1765,93244.67042029813
306,1766,88413.1075278325
307,1767,107332.73769845153
308,1768,98110.20041977275
309,1769,100579.58879344279
310,1770,106769.94988048263
311,1771,87010.65923450276
312,1772,84879.82615616797
313,1773,77535.09082285751
314,1774,86396.47063293618
315,1775,83065.10274538284
316,1776,67748.95586226654
317,1777,62445.69078685978
318,1778,57782.88385710762
319,1779,65309.02414420797
320,1780,62034.49292664448
321,1781,66957.58424327974
322,1782,75537.10428037873
323,1783,79974.84540403067
324,1784,77120.78429463255
325,1785,65474.995100212924
326,1786,65713.08670139592
327,1787,58056.69117635614
328,1788,53150.48439850393
329,1789,46641.722257385016
330,1790,38706.437409656704
331,1791,43256.94050385953
332,1792,54201.41089587484
333,1793,59001.03738060457
334,1794,51357.32560677812
335,1795,71992.01915504414
336,1796,86587.66064373017
337,1797,100155.43559093619
338,1798,111064.64838150298
339,1799,111943.04188025315
340,1800,108103.91695629607
341,1801,99952.79097911817
342,1802,98396.88948522473
343,1803,90729.43544896287
344,1804,91134.32783620685
345,1805,138480.8782073966
346,1806,136797.56823595738
347,1807,150829.84372425763
348,1808,151942.56109368725
349,1809,159608.378730252
350,1810,167064.2898142494
351,1811,165351.22294001057
352,1812,168464.1258754309
353,1813,162437.75481539188
354,1814,171023.0588084215
355,1815,167983.9048656229
356,1816,168595.9012831132
357,1817,157299.1369984946
358,1818,146192.7171045294
359,1819,136975.8771236002
360,1820,136380.5272372725
361,1821,133533.75875760548
362,1822,129690.69305634647
363,1823,129532.03786619831
364,1824,126805.08741981458
