,PGE_valley,SCE
0,38495.620899147034,0.0
1,48144.22809458031,4190.19216951789
2,56932.25496109761,590.9705736971632
3,61701.312134477965,3446.6345423676757
4,57073.903745486896,5866.8466294515965
5,55387.73948990053,1636.1079089136751
6,62868.05097551629,3814.076836372382
7,53897.837166284386,0.0
8,55341.94788187639,3801.7476125576068
9,50653.46563968397,0.0
10,42340.56680789901,147.5862093775363
11,49674.957353228354,0.0
12,47137.15182043679,5845.394215308721
13,44998.60540908258,1369.440746788443
14,41118.57045653435,4883.629485667244
15,32991.28006850471,4963.5708561026795
16,31048.717234073323,437.51371137902925
17,34609.72281691466,1015.884667066282
18,36867.89370765326,4073.300124863807
19,35411.658858124145,3487.225342545285
20,28013.664411648922,0.0
21,21180.181649952105,7064.998788055769
22,24674.241342932324,2305.3238587664737
23,24679.37727780688,5283.070081327628
24,23428.710369728586,2749.8491261607155
25,22801.30460547589,5967.507598506245
26,30446.161915211123,4991.180063906966
27,42604.087364351144,7748.390176511053
28,49467.03252792528,5632.208118297594
29,57731.32936071165,5108.476872656513
30,62015.34815242918,3188.12843552931
31,72296.82929327204,4431.058350696372
32,74028.69032259536,4473.6706272892925
33,77218.98979653328,5922.964466367746
34,83387.48670849652,12454.811142419589
35,86797.85774600669,8110.851998623668
36,82550.55672607901,15781.965836774409
37,102593.52192289398,15039.524461432162
38,102682.85304082985,19828.1166651101
39,101993.14356093238,15652.551911478096
40,100578.2806256481,15265.808957811256
41,85805.25637290484,17773.008175194514
42,98733.11076242695,16880.82309690613
43,96358.08432453332,12437.653589066389
44,88622.04374042679,14988.485608692245
45,84392.42358668239,8921.391823479116
46,85123.8529695404,7783.350805146476
47,83476.73672967021,14065.764051231814
48,79011.17228441361,12647.281176787668
49,90294.08201722364,14951.118486018924
50,90663.70384863339,13769.530797293495
51,90258.98927018332,10130.55650191911
52,87362.42466839915,11422.396143493044
53,87052.14246645862,14748.140499638932
54,87519.95830725845,16135.531684203623
55,81751.30456201272,13782.670180957712
56,74671.44896182921,13604.618871321829
57,73081.1533926826,6162.297758372929
58,77667.15958364251,9721.696540630626
59,58206.25135456449,7799.591137261315
60,61885.39899122609,10185.442932688347
61,57501.23540454187,9328.894230625096
62,58639.5418631062,3072.7880166936857
63,54511.94968478453,3861.733287561586
64,64639.03153288721,9376.816895083604
65,60184.70607019583,8406.35982632348
66,55777.369982112315,5264.171396277276
67,50953.28837707483,8518.734195185865
68,57483.697572144694,5440.581551044723
69,54205.550240782366,7905.893083966226
70,61804.1314463102,2334.348408952753
71,56967.66216995094,5329.781719187765
72,58263.62710262279,7769.056269076907
73,55481.104999776726,1315.0452150603883
74,57066.517074609306,6685.758764704965
75,57161.76931575745,7620.6745968344885
76,67514.93539389085,8150.887502525835
77,62673.44079837789,2844.004970733422
78,63591.50924012625,5885.108638598155
79,69529.74333643579,3381.974133892394
80,64079.22783024812,4703.967757397754
81,62979.44960128101,3162.2454398068367
82,69609.69651639267,2520.422892268326
83,68489.12327593505,5876.181977190485
84,68805.15386303747,6070.382380159781
85,66547.98414149827,7542.73014712626
86,71640.14546466687,9072.36519033933
87,68528.61273430075,6490.3772651580375
88,70807.85536008116,5519.040175649378
89,74641.53941704007,9230.314431266608
90,81178.55324007478,10142.669390884641
91,84031.74202191069,8993.011046127143
92,84149.23125886926,8175.799195719731
93,85570.65440182292,14471.752238614667
94,102016.96137667248,9248.972188184092
95,93245.63425345634,11152.46293050253
96,94617.80592197027,14221.084555896268
97,94923.67807034081,9094.885904296134
98,96038.17464129029,5343.6973833713855
99,89687.38467895951,5718.0621106693
100,92021.32424783063,5473.794346863871
101,94565.54265963144,1903.146481292678
102,84378.00230383631,7778.430103979644
103,87808.12307451013,7928.707819006686
104,88743.81407133107,8226.5542127728
105,83850.53932424224,8383.344612349987
106,81702.06055372684,5145.271284863527
107,85243.86249975963,4169.881151201483
108,79103.8406095925,5386.524357624064
109,84828.72707938793,7972.52315383142
110,82185.10891796813,8220.097553776368
111,82061.92558979976,5996.636114972818
112,70055.65212848586,4415.631341634772
113,75310.68115526822,5160.877298972744
114,65459.59485286672,7687.691689145833
115,77067.217446566,6922.431472865177
116,67168.60690412419,1870.2125266596786
117,66349.136105925,6792.983168623743
118,66537.37140618247,10885.04379821919
119,72383.85992385646,13813.410391844882
120,70720.850199321,7901.179308047134
121,71037.88011594424,10621.292309816885
122,79843.85147290552,14164.77187876824
123,74873.63184263452,15134.179259093373
124,81430.91559621783,14529.814074283993
125,75108.9411498788,14020.669816095742
126,74955.5556421235,10119.565666097315
127,75651.95519917866,16188.983099159697
128,77114.87922582265,12179.087131192566
129,76967.10347788628,14224.692229206357
130,76062.2264293207,13194.234220860286
131,79898.96344452284,16739.25824359414
132,84919.53935715435,18507.826871331486
133,82270.03831291937,11347.375253134363
134,78912.898771642,14522.305879954507
135,71055.63265962334,12953.289193824821
136,75336.42731251178,14193.040080224448
137,80701.30882843392,12665.45497857867
138,76762.47459821147,9893.51351290449
139,78245.83073854905,11892.643274279442
140,79511.18386867981,15404.093903820336
141,72432.51794703986,10728.344081995738
142,73348.7372927599,10644.537955679334
143,81634.73299271557,7202.616414218624
144,75811.74133611609,9416.265425146888
145,71740.21656366385,15566.703613716872
146,74627.64972658904,14038.155544599798
147,77664.87422179338,13101.841238596437
148,73784.83823243967,14663.087129386631
149,75596.2079943752,12876.66643341403
150,65654.07478909282,4258.982578800809
151,66347.01120950791,10657.400169961744
152,75150.31766213672,12545.330966198828
153,60679.97261877009,10529.455038386504
154,74239.55481502987,17103.290361075866
155,70673.6493855287,11679.877977538115
156,63055.38533803322,13640.356722351173
157,69623.78648091239,11272.381723278515
158,64880.68237045467,15688.30154781772
159,70209.72603113198,10130.047956835022
160,64403.5597612751,13414.206286771481
161,69625.13422402617,16553.972033716665
162,70706.73885858519,9854.747081031388
163,68794.34709820042,22064.022537900782
164,63476.08344145285,14224.979776621421
165,56224.149889454,15769.256619869258
166,73028.6324427157,14131.998438880653
167,68703.02518310524,12110.319090317056
168,65491.10693573006,9734.536023900895
169,67888.32891654808,13144.792307847305
170,65293.61229983103,11695.718302682437
171,65544.82051002445,14490.619346344798
172,60249.49974395674,25065.15562922847
173,64437.17705629656,19866.95501561106
174,58097.57604656619,15862.655840526266
175,64412.81407442002,14624.940274853303
176,58141.72525554827,18906.594500913416
177,61833.03131942975,18743.784290754742
178,64379.58122463435,17788.00844230695
179,68615.56136456905,21312.98114042506
180,62388.21012157767,23331.3428392945
181,70085.85163575248,16969.690398893526
182,65074.877961819046,19641.10877192934
183,58359.55530296679,13503.956385254405
184,69157.22513462315,23552.927775549655
185,67913.22941718742,15636.178382502749
186,55585.87137007222,16095.677162113603
187,64815.58305226771,16386.942862944612
188,54602.36403367785,17283.108643161526
189,52467.00452746884,17221.95444773936
190,60252.34882167463,15537.034951225742
191,53518.96717445573,23784.611471048698
192,61331.07087371246,17807.81181821181
193,56065.14991664144,13378.220057780738
