,Constraint,Time,Value
146,Bal3Constraint,27,53.0358
147,Bal3Constraint,28,53.0358
148,Bal3Constraint,29,51.8736
149,Bal3Constraint,30,53.0358
150,Bal3Constraint,31,53.0358
151,Bal3Constraint,32,50.7114
152,Bal3Constraint,33,36.695
153,Bal3Constraint,34,17.9546
154,Bal3Constraint,35,0.01
155,Bal3Constraint,36,0.01
156,Bal3Constraint,37,0.01
157,Bal3Constraint,38,18.5604
158,Bal3Constraint,39,29.222299999999997
159,Bal3Constraint,40,36.4268
160,Bal3Constraint,41,60.47579999999994
161,Bal3Constraint,42,53.03580000000002
162,Bal3Constraint,43,53.03580000000002
163,Bal3Constraint,44,53.03580000000002
164,Bal3Constraint,45,53.03580000000002
165,Bal3Constraint,46,53.03580000000002
166,Bal3Constraint,47,53.0358
167,Bal3Constraint,48,53.0358
168,Bal4Constraint,25,47.3258
169,Bal4Constraint,26,47.3258
170,Bal4Constraint,27,47.3258
171,Bal4Constraint,28,47.3258
172,Bal4Constraint,29,46.1636
173,Bal4Constraint,30,47.3258
174,Bal4Constraint,31,47.3258
175,Bal4Constraint,32,45.0014
176,Bal4Constraint,33,37.8572
177,Bal4Constraint,34,12.244599999999998
178,Bal4Constraint,35,0.01
179,Bal4Constraint,36,0.01
180,Bal4Constraint,37,0.01
181,Bal4Constraint,38,12.8504
182,Bal4Constraint,39,37.8572
183,Bal4Constraint,40,37.8572
184,Bal4Constraint,41,54.76579999999994
185,Bal4Constraint,42,62.995800000000024
186,Bal4Constraint,43,62.995800000000024
187,Bal4Constraint,44,62.995800000000024
188,Bal4Constraint,45,62.995800000000024
189,Bal4Constraint,46,62.995800000000024
190,Bal4Constraint,47,62.9958
191,Bal4Constraint,48,62.9958
192,Bal1Constraint,49,0.5
193,Bal1Constraint,50,0.0
194,Bal1Constraint,51,-0.0
195,Bal1Constraint,52,0.0
196,Bal1Constraint,53,0.0
197,Bal1Constraint,54,0.0
198,Bal1Constraint,55,0.0
199,Bal1Constraint,56,0.0
200,Bal1Constraint,57,0.0
201,Bal1Constraint,58,0.0
202,Bal1Constraint,59,0.0
203,Bal1Constraint,60,0.0
204,Bal1Constraint,61,0.0
205,Bal1Constraint,62,-0.0
206,Bal1Constraint,63,-0.0
207,Bal1Constraint,64,0.0
208,Bal1Constraint,65,0.0
209,Bal1Constraint,66,-0.0
210,Bal1Constraint,67,3.0
211,Bal1Constraint,68,1.0
212,Bal1Constraint,69,1.0
213,Bal1Constraint,70,1.0
214,Bal1Constraint,71,1.0
215,Bal1Constraint,72,0.5
216,Bal2Constraint,49,0.5
217,Bal2Constraint,50,0.0
218,Bal2Constraint,51,0.0
219,Bal2Constraint,52,0.0
220,Bal2Constraint,53,0.0
221,Bal2Constraint,54,0.0
222,Bal2Constraint,55,0.0
223,Bal2Constraint,56,0.0
224,Bal2Constraint,57,0.0
225,Bal2Constraint,58,0.0
226,Bal2Constraint,59,0.0
227,Bal2Constraint,60,0.0
228,Bal2Constraint,61,0.0
229,Bal2Constraint,62,0.0
230,Bal2Constraint,63,0.0
231,Bal2Constraint,64,0.0
232,Bal2Constraint,65,0.0
233,Bal2Constraint,66,0.0
234,Bal2Constraint,67,3.0
235,Bal2Constraint,68,1.0
236,Bal2Constraint,69,1.0
237,Bal2Constraint,70,1.0
238,Bal2Constraint,71,1.0
239,Bal2Constraint,72,0.5
240,Bal3Constraint,49,0.5
241,Bal3Constraint,50,0.0
242,Bal3Constraint,51,0.0
243,Bal3Constraint,52,0.0
244,Bal3Constraint,53,0.0
245,Bal3Constraint,54,0.0
246,Bal3Constraint,55,0.0
247,Bal3Constraint,56,0.0
248,Bal3Constraint,57,-0.0
249,Bal3Constraint,58,0.0
250,Bal3Constraint,59,0.0
251,Bal3Constraint,60,0.0
252,Bal3Constraint,61,0.0
253,Bal3Constraint,62,-0.0
254,Bal3Constraint,63,-0.0
255,Bal3Constraint,64,-0.0
256,Bal3Constraint,65,0.0
257,Bal3Constraint,66,0.0
258,Bal3Constraint,67,3.0
259,Bal3Constraint,68,1.0
260,Bal3Constraint,69,1.0
261,Bal3Constraint,70,1.0
262,Bal3Constraint,71,1.0
263,Bal3Constraint,72,0.5
264,Bal4Constraint,49,0.5
265,Bal4Constraint,50,-0.0
266,Bal4Constraint,51,-0.0
267,Bal4Constraint,52,-0.0
268,Bal4Constraint,53,0.0
269,Bal4Constraint,54,0.0
270,Bal4Constraint,55,-0.0
271,Bal4Constraint,56,0.0
272,Bal4Constraint,57,0.0
273,Bal4Constraint,58,-0.0
274,Bal4Constraint,59,0.0
275,Bal4Constraint,60,0.0
276,Bal4Constraint,61,0.0
277,Bal4Constraint,62,-0.0
278,Bal4Constraint,63,0.0
279,Bal4Constraint,64,-0.0
280,Bal4Constraint,65,-0.0
281,Bal4Constraint,66,-0.0
282,Bal4Constraint,67,3.0
283,Bal4Constraint,68,1.0
284,Bal4Constraint,69,1.0
285,Bal4Constraint,70,1.0
286,Bal4Constraint,71,1.0
287,Bal4Constraint,72,0.5
288,Bal1Constraint,73,32.3832
289,Bal1Constraint,74,32.3832
290,Bal1Constraint,75,32.3832
291,Bal1Constraint,76,32.3832
292,Bal1Constraint,77,32.3832
293,Bal1Constraint,78,32.3832
294,Bal1Constraint,79,32.3832
295,Bal1Constraint,80,32.3832
296,Bal1Constraint,81,15.138780000000002
297,Bal1Constraint,82,9.97
298,Bal1Constraint,83,0.01
299,Bal1Constraint,84,0.01
300,Bal1Constraint,85,0.01
301,Bal1Constraint,86,0.01
302,Bal1Constraint,87,0.01
303,Bal1Constraint,88,32.2434
304,Bal1Constraint,89,43.420500000000004
305,Bal1Constraint,90,43.420500000000004
306,Bal1Constraint,91,37.6024
307,Bal1Constraint,92,37.6024
308,Bal1Constraint,93,43.420500000000004
309,Bal1Constraint,94,38.259800000000006
310,Bal1Constraint,95,34.784499999999994
311,Bal1Constraint,96,32.4814
312,Bal2Constraint,73,32.3832
313,Bal2Constraint,74,32.3832
314,Bal2Constraint,75,32.3832
315,Bal2Constraint,76,32.3832
316,Bal2Constraint,77,32.3832
317,Bal2Constraint,78,32.3832
318,Bal2Constraint,79,32.3832
319,Bal2Constraint,80,32.3832
320,Bal2Constraint,81,15.138780000000002
321,Bal2Constraint,82,9.97
322,Bal2Constraint,83,0.01
323,Bal2Constraint,84,0.01
324,Bal2Constraint,85,0.01
325,Bal2Constraint,86,0.01
326,Bal2Constraint,87,0.01
327,Bal2Constraint,88,32.2434
328,Bal2Constraint,89,43.420500000000004
329,Bal2Constraint,90,43.420500000000004
330,Bal2Constraint,91,37.6024
331,Bal2Constraint,92,37.6024
332,Bal2Constraint,93,43.420500000000004
333,Bal2Constraint,94,38.259800000000006
334,Bal2Constraint,95,34.784499999999994
335,Bal2Constraint,96,32.4814
336,Bal3Constraint,73,38.0932
337,Bal3Constraint,74,38.0932
338,Bal3Constraint,75,38.0932
339,Bal3Constraint,76,38.0932
340,Bal3Constraint,77,38.0932
341,Bal3Constraint,78,38.0932
342,Bal3Constraint,79,38.0932
343,Bal3Constraint,80,38.0932
344,Bal3Constraint,81,5.1787800000000015
345,Bal3Constraint,82,0.01
346,Bal3Constraint,83,0.01
347,Bal3Constraint,84,0.01
348,Bal3Constraint,85,0.01
349,Bal3Constraint,86,0.01
350,Bal3Constraint,87,0.01
351,Bal3Constraint,88,32.843
352,Bal3Constraint,89,49.130500000000005
353,Bal3Constraint,90,49.130500000000005
354,Bal3Constraint,91,43.312400000000004
355,Bal3Constraint,92,43.312400000000004
356,Bal3Constraint,93,49.130500000000005
357,Bal3Constraint,94,43.969800000000006
358,Bal3Constraint,95,40.494499999999995
359,Bal3Constraint,96,38.1914
360,Bal4Constraint,73,47.3258
361,Bal4Constraint,74,45.0014
362,Bal4Constraint,75,48.053200000000004
363,Bal4Constraint,76,48.053200000000004
364,Bal4Constraint,77,48.053200000000004
365,Bal4Constraint,78,48.053200000000004
366,Bal4Constraint,79,48.053200000000004
367,Bal4Constraint,80,38.93
368,Bal4Constraint,81,0.01
369,Bal4Constraint,82,0.01
370,Bal4Constraint,83,0.01
371,Bal4Constraint,84,0.01
372,Bal4Constraint,85,0.01
373,Bal4Constraint,86,0.01
374,Bal4Constraint,87,0.01
375,Bal4Constraint,88,37.2761
376,Bal4Constraint,89,59.090500000000006
377,Bal4Constraint,90,59.090500000000006
378,Bal4Constraint,91,53.272400000000005
379,Bal4Constraint,92,53.272400000000005
380,Bal4Constraint,93,59.090500000000006
381,Bal4Constraint,94,53.92980000000001
382,Bal4Constraint,95,50.454499999999996
383,Bal4Constraint,96,48.1514
384,Bal1Constraint,97,39.672650000000004
385,Bal1Constraint,98,39.672650000000004
386,Bal1Constraint,99,39.672650000000004
387,Bal1Constraint,100,39.672650000000004
388,Bal1Constraint,101,39.672650000000004
389,Bal1Constraint,102,39.672650000000004
390,Bal1Constraint,103,39.672650000000004
391,Bal1Constraint,104,39.672650000000004
392,Bal1Constraint,105,15.68
393,Bal1Constraint,106,9.97
394,Bal1Constraint,107,0.01
395,Bal1Constraint,108,0.01
396,Bal1Constraint,109,0.01
397,Bal1Constraint,110,0.01
398,Bal1Constraint,111,0.01
399,Bal1Constraint,112,32.3832
400,Bal1Constraint,113,47.3258
401,Bal1Constraint,114,47.3258
402,Bal1Constraint,115,47.3258
403,Bal1Constraint,116,47.3258
404,Bal1Constraint,117,47.3258
405,Bal1Constraint,118,47.3258
406,Bal1Constraint,119,39.672650000000004
407,Bal1Constraint,120,39.672650000000004
408,Bal2Constraint,97,39.672650000000004
409,Bal2Constraint,98,39.672650000000004
410,Bal2Constraint,99,39.672650000000004
411,Bal2Constraint,100,39.672650000000004
412,Bal2Constraint,101,39.672650000000004
413,Bal2Constraint,102,39.672650000000004
414,Bal2Constraint,103,39.672650000000004
415,Bal2Constraint,104,39.672650000000004
416,Bal2Constraint,105,15.68
417,Bal2Constraint,106,9.97
418,Bal2Constraint,107,0.01
419,Bal2Constraint,108,0.01
420,Bal2Constraint,109,0.01
421,Bal2Constraint,110,0.01
422,Bal2Constraint,111,0.01
423,Bal2Constraint,112,32.3832
424,Bal2Constraint,113,47.3258
425,Bal2Constraint,114,47.3258
426,Bal2Constraint,115,47.3258
427,Bal2Constraint,116,47.3258
428,Bal2Constraint,117,47.3258
429,Bal2Constraint,118,47.3258
430,Bal2Constraint,119,39.672650000000004
431,Bal2Constraint,120,39.672650000000004
432,Bal3Constraint,97,45.382650000000005
433,Bal3Constraint,98,45.382650000000005
434,Bal3Constraint,99,45.382650000000005
435,Bal3Constraint,100,45.382650000000005
436,Bal3Constraint,101,45.382650000000005
437,Bal3Constraint,102,45.382650000000005
438,Bal3Constraint,103,45.382650000000005
439,Bal3Constraint,104,40.494499999999995
440,Bal3Constraint,105,5.72
441,Bal3Constraint,106,0.01
442,Bal3Constraint,107,0.01
443,Bal3Constraint,108,0.01
444,Bal3Constraint,109,0.01
445,Bal3Constraint,110,0.01
446,Bal3Constraint,111,0.01
447,Bal3Constraint,112,22.4232
448,Bal3Constraint,113,53.0358
449,Bal3Constraint,114,53.0358
450,Bal3Constraint,115,53.0358
451,Bal3Constraint,116,53.0358
452,Bal3Constraint,117,53.0358
453,Bal3Constraint,118,53.0358
454,Bal3Constraint,119,45.382650000000005
455,Bal3Constraint,120,45.382650000000005
456,Bal4Constraint,97,47.3258
457,Bal4Constraint,98,45.0014
458,Bal4Constraint,99,45.0014
459,Bal4Constraint,100,45.0014
460,Bal4Constraint,101,55.342650000000006
461,Bal4Constraint,102,55.342650000000006
462,Bal4Constraint,103,55.342650000000006
463,Bal4Constraint,104,38.93
464,Bal4Constraint,105,0.01
465,Bal4Constraint,106,0.01
466,Bal4Constraint,107,0.01
467,Bal4Constraint,108,0.01
468,Bal4Constraint,109,0.01
469,Bal4Constraint,110,0.01
470,Bal4Constraint,111,0.01
471,Bal4Constraint,112,16.7132
472,Bal4Constraint,113,47.3258
473,Bal4Constraint,114,62.9958
474,Bal4Constraint,115,62.9958
475,Bal4Constraint,116,62.9958
476,Bal4Constraint,117,62.9958
477,Bal4Constraint,118,62.9958
478,Bal4Constraint,119,55.342650000000006
479,Bal4Constraint,120,55.342650000000006
480,Bal1Constraint,121,31.5661
481,Bal1Constraint,122,31.5661
482,Bal1Constraint,123,31.5661
483,Bal1Constraint,124,31.5661
484,Bal1Constraint,125,31.5661
485,Bal1Constraint,126,31.5661
486,Bal1Constraint,127,31.5661
487,Bal1Constraint,128,31.5661
488,Bal1Constraint,129,9.97
489,Bal1Constraint,130,0.01
490,Bal1Constraint,131,0.01
491,Bal1Constraint,132,0.01
492,Bal1Constraint,133,0.01
493,Bal1Constraint,134,0.01
494,Bal1Constraint,135,0.01
495,Bal1Constraint,136,9.97
496,Bal1Constraint,137,42.73716666666666
497,Bal1Constraint,138,42.73716666666666
498,Bal1Constraint,139,42.73716666666666
499,Bal1Constraint,140,35.319
500,Bal1Constraint,141,35.319
501,Bal1Constraint,142,35.319
502,Bal1Constraint,143,32.8076
503,Bal1Constraint,144,31.5661
504,Bal2Constraint,121,31.5661
505,Bal2Constraint,122,31.5661
506,Bal2Constraint,123,31.5661
507,Bal2Constraint,124,31.5661
508,Bal2Constraint,125,31.5661
509,Bal2Constraint,126,31.5661
510,Bal2Constraint,127,31.5661
511,Bal2Constraint,128,31.5661
512,Bal2Constraint,129,9.97
513,Bal2Constraint,130,0.01
514,Bal2Constraint,131,0.01
515,Bal2Constraint,132,0.01
516,Bal2Constraint,133,0.01
517,Bal2Constraint,134,0.01
518,Bal2Constraint,135,0.01
519,Bal2Constraint,136,9.97
520,Bal2Constraint,137,42.73716666666666
521,Bal2Constraint,138,42.73716666666666
522,Bal2Constraint,139,42.73716666666666
523,Bal2Constraint,140,35.319
524,Bal2Constraint,141,35.319
525,Bal2Constraint,142,35.319
526,Bal2Constraint,143,32.8076
527,Bal2Constraint,144,31.5661
528,Bal3Constraint,121,37.2761
529,Bal3Constraint,122,37.2761
530,Bal3Constraint,123,37.2761
531,Bal3Constraint,124,37.2761
532,Bal3Constraint,125,37.2761
533,Bal3Constraint,126,37.2761
534,Bal3Constraint,127,37.2761
535,Bal3Constraint,128,37.2761
536,Bal3Constraint,129,0.01
537,Bal3Constraint,130,0.01
538,Bal3Constraint,131,0.01
539,Bal3Constraint,132,0.01
540,Bal3Constraint,133,0.01
541,Bal3Constraint,134,0.01
542,Bal3Constraint,135,0.01
543,Bal3Constraint,136,0.01
544,Bal3Constraint,137,48.44716666666666
545,Bal3Constraint,138,48.44716666666666
546,Bal3Constraint,139,48.44716666666666
547,Bal3Constraint,140,41.029
548,Bal3Constraint,141,41.029
