,SHA_otf,ORO_otf,YRS_otf,FOL_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,ISB_otf,SUC_otf,KWH_otf,PFT_otf
0,162856.08580560616,251813.19510684206,20789.480924744235,392477.9829711217,8005.479338584888,11913.160914805665,12508.561466538888,2532.9190938783936,2986.8722586746676,995.9052273572601,4079.0500137086833,4753.253357284777
1,159704.70681010984,138358.89841035288,49178.21393287246,178470.9224315457,8005.479338584888,9908.374359964702,32561.771237337292,9870.359382141261,4603.150619686311,1929.5169016104503,5503.767045277111,26795.405919945715
2,128602.83591227667,97202.66048920919,52090.034021895575,94426.0159271568,8005.479338584888,10926.339099644807,19773.308386796693,8559.855463360569,4603.150619686311,1938.8476254014074,5503.767045277111,24791.060011721325
3,99099.64476482819,77566.38422455502,17220.585818483836,74215.98271667553,8005.479338584888,10536.24009247097,13179.146391810957,8422.727112721155,4603.150619686311,1867.4814302106788,5503.767045277111,16918.37493928384
4,80147.46492415221,69023.625938035,13783.105715670918,67949.01081530035,8005.479338584888,9723.641261015933,12508.561466538888,7745.558088482772,4603.150619686311,1723.193523740241,5503.767045277111,12387.6653783071
5,79054.10846852577,60936.5054567116,11033.12163342058,60981.73585211072,8005.479338584888,8631.324012379537,12508.561466538888,7291.616689914077,4603.150619686311,1573.5775856213047,5327.672681069919,10415.434631927626
6,79054.10846852577,53858.64012570663,8833.134367620305,54414.102254589925,8005.479338584888,7411.220337663735,12508.561466538888,6753.479376173135,4603.150619686311,1427.4430550432842,4702.6431557183005,9293.026890085586
7,79054.10846852577,47575.56787210772,7073.144554980085,46527.09804793865,8005.479338584888,6572.3494396733295,12508.561466538888,6325.936299638233,4603.150619686311,1295.5119891553934,4156.713517904203,8537.73046686354
8,79054.10846852577,42137.57013853996,5665.152704867916,41618.62859093125,8005.479338584888,5715.250400014906,12508.561466538888,6023.172597411787,4140.409640191714,1173.3341944841056,3690.4302766496758,7864.0823049898445
9,79054.10846852577,37046.31624198414,4538.759224778177,37579.737719850316,8005.479338584888,5005.819642408125,12508.561466538888,5740.458948569915,3638.009645650302,1069.14962207205,3290.2755429287863,7133.8299897659235
