,0
0,1347867.7647502602
1,2488726.6406411715
2,1099182.3440511122
3,1079226.1417369973
4,1241169.8553191733
5,123777.16718031341
6,379295.99999999977
7,419386.9783130502
8,173365.34139251005
9,2150881.0004214663
10,1995369.3618996132
11,1408863.9652550665
12,764527.9081737936
13,847673.0636962022
14,1566955.5687388363
15,2138500.935054423
16,94824.0
17,244233.63706684945
18,200872.52509601496
19,94824.0
20,94824.0
21,94824.0
22,94824.0
23,94824.0
24,94824.0
25,94824.0
26,94824.0
27,94824.0
28,94824.0
29,94824.0
30,94824.0
31,94824.0
32,94824.0
33,94824.0
34,94824.0
35,94824.0
36,94824.0
37,94824.0
38,94824.0
39,94824.0
40,94824.0
41,94824.0
42,94824.0
43,94824.0
44,201504.32108526264
45,94824.0
46,94824.0
47,94824.0
48,94824.0
49,94824.0
50,1442421.0881975852
51,94824.0
52,392744.8520247723
53,94824.0
54,94824.0
55,94824.0
56,94824.0
57,94824.0
58,94824.0
59,192785.61916767215
60,294374.91093482665
61,94824.0
62,94824.0
63,497097.6997620279
64,406212.92118521954
65,738149.0755817253
66,1461410.4925462801
67,94824.0
68,94824.0
69,94824.0
70,94824.0
71,94824.0
72,94824.0
73,94824.0
74,94824.0
75,94824.0
76,94824.0
77,94824.0
78,94824.0
79,171945.70041487474
80,94824.0
81,94824.0
82,94824.0
83,94824.0
84,921508.2223881178
85,119039.55957729834
86,94824.0
87,94824.0
88,94824.0
89,94824.0
90,94824.0
91,94824.0
92,94824.0
93,94824.0
94,94824.0
95,94824.0
96,94824.0
97,94824.0
98,94824.0
99,94824.0
100,94824.0
101,94824.0
102,94824.0
103,94824.0
104,94824.0
105,94824.0
106,94824.0
107,94824.0
108,94824.0
109,94824.0
110,94824.0
111,94824.0
112,94824.0
113,94824.0
114,94824.0
115,94824.0
116,94824.0
117,94824.0
118,94824.0
119,94824.0
120,94824.0
121,94824.0
122,94824.0
123,94824.0
124,94824.0
125,94824.0
126,94824.0
127,94824.0
128,94824.0
129,94824.0
130,94824.0
131,94824.0
132,94824.0
133,94824.0
134,94824.0
135,94824.0
136,94824.0
137,94824.0
138,94824.0
139,94824.0
140,94824.0
141,94824.0
142,94824.0
143,94824.0
144,94824.0
145,94824.0
146,94824.0
147,94824.0
148,94824.0
149,94824.0
150,94824.0
151,94824.0
152,94824.0
153,94824.0
154,94824.0
155,94824.0
156,94824.0
157,94824.0
158,94824.0
159,94824.0
160,94824.0
161,94824.0
162,94824.0
163,94824.0
164,94824.0
165,94824.0
166,94824.0
167,94824.0
168,94824.0
169,94824.0
170,94824.0
171,94824.0
172,94824.0
173,94824.0
174,94824.0
175,94824.0
176,94824.0
177,94824.0
178,94824.0
179,94824.0
180,94824.0
181,94824.0
182,94824.0
183,94824.0
184,94824.0
185,94824.0
186,94824.0
187,94824.0
188,94824.0
189,94824.0
190,94824.0
191,94824.0
192,94824.0
193,94824.0
194,94824.0
195,99758.26616489186
196,94824.0
197,94824.0
198,94824.0
199,94824.0
200,94824.0
201,94824.0
202,94824.0
203,94824.0
204,94824.0
205,94824.0
206,94824.0
207,94824.0
208,94824.0
209,94824.0
210,94824.0
211,94824.0
212,94824.0
213,94824.0
214,244276.87871463055
215,1083109.2967480598
216,94824.0
217,94824.0
218,94824.0
219,2201419.470142911
220,94824.0
221,94824.0
222,94824.0
223,94824.0
224,94824.0
225,94824.0
226,94824.0
227,1822370.0150758591
228,94824.0
229,803529.284745216
230,1000112.0887775186
231,984777.7565938889
232,276042.91689261625
233,933699.3948107415
234,2003858.9828526338
235,1081578.8106830965
236,220884.2764557495
237,94824.0
238,94824.0
239,580263.7786345716
240,94824.0
241,94824.0
242,94824.0
243,94824.0
244,208247.43826569399
245,676006.0923587156
246,852985.0985380359
247,495174.4547819811
248,2779011.8883462236
249,1403281.581241855
250,1079479.9172068867
251,94824.0
252,2679526.2291223085
253,2571270.338731519
254,151700.94816161224
255,818140.906463207
256,1136098.4858919003
257,94824.0
258,2430231.6992845377
259,2301637.5426465627
260,1231957.5325733593
261,2280656.1514428444
262,1655563.271337483
263,976549.6238147389
264,2809867.006427665
265,4133447.528086091
266,4279761.619939433
267,3438236.0310625313
268,2648749.559447451
269,365184.13099371025
270,1652444.6935169937
271,2250909.46024601
272,2353045.272096078
273,94824.0
274,94824.0
275,94824.0
276,94824.0
277,94824.0
278,94824.0
279,990674.6659007977
280,1195957.5594330782
281,1502849.7778854223
282,145670.3501683595
283,94824.0
284,94824.0
285,94824.0
286,1130068.2006744544
287,94824.0
288,94824.0
289,94824.0
290,94824.0
291,94824.0
292,94824.0
293,94824.0
294,94824.0
295,94824.0
296,94824.0
297,951174.5929956941
298,94824.0
299,94824.0
300,94824.0
301,94824.0
302,94824.0
303,94824.0
304,94824.0
305,94824.0
306,94824.0
307,94824.0
308,171264.69559186712
309,1494992.8894631115
310,2923903.5415606042
311,779361.89590121
312,1233728.6391725517
313,177853.025083546
314,1881324.6754695026
315,94824.0
316,94824.0
317,94824.0
318,1240913.6210159862
319,1462503.925504402
320,94824.0
321,636637.3444037195
322,94824.0
323,94824.0
324,181946.29256621058
325,94824.0
326,94824.0
327,94824.0
