,0
0,47578.59755990302
1,0.0
2,7109.280470273134
3,72278.05080013518
4,11117.403779773866
5,79725.25333232695
6,0.0
7,7196.002003593776
8,1524.6131901153312
9,0.0
10,0.0
11,0.0
12,-1.0408340855860843e-16
13,-1.0408340855860843e-16
14,-1.0408340855860843e-16
15,-1.0408340855860843e-16
16,2896.0146238407433
17,0.0
18,10540.99778981457
19,51326.50379736818
20,159620.98717106233
21,0.0
22,57454.38853059893
23,175010.67857856554
24,20.151708896446607
25,240254.00642134197
26,300593.7772885547
27,99041.92516179092
28,89669.6335093478
29,189819.4880225861
30,149415.6254964567
31,20.151708896446607
32,93128.55235883778
33,97853.5952044639
34,96234.01386111535
35,138316.31053189898
36,0.0
37,0.0
38,39928.46212288586
39,7.632783294297951e-17
40,115202.10070659124
41,41902.31044697581
42,0.0
43,114461.2701635871
44,2.220446049250313e-16
45,39607.33133729447
46,128002.0377172367
47,84667.47181020267
48,31168.687135623524
49,15460.987656834239
50,2.220446049250313e-16
51,12718.92243322618
52,-8.326672684688674e-17
53,42140.319457945734
54,0.0
55,0.0
56,937.3707006640961
57,13589.356857594226
58,75615.3526368052
59,-8.326672684688674e-17
60,0.0
61,36112.48781699203
62,0.0
63,-8.326672684688674e-17
64,0.0
65,400.7734380605325
66,-8.326672684688674e-17
67,110762.56538456785
68,93249.91449732443
69,210002.0913831408
70,120907.0935200581
71,131260.5840736781
72,163655.5554852731
73,51524.80087012492
74,68668.46728734246
75,170697.78541599747
76,20.15170889644661
77,91255.86998933379
78,-8.326672684688674e-17
79,0.0
80,28454.58281090441
81,120037.34237848423
82,75354.20914111448
83,49725.2427084566
84,2.7755575615628914e-17
85,0.0
86,88696.0121902134
87,215335.89196604828
88,408949.23674453865
89,199707.126612097
90,54229.613735664534
91,0.0
92,27927.033609560713
93,13350.036772671843
94,13050.886533245059
95,4.163336342344337e-17
96,97560.89624809194
97,305140.2291153026
98,180140.34470927142
99,54505.7103907313
100,324097.09337322623
101,20.151708896446614
102,100115.64783134664
103,170743.5400132567
104,273285.5220503633
105,74020.72380842184
106,165923.41609897392
107,51719.19486054342
108,121637.34935309246
109,20.02980717582657
110,4.163336342344337e-17
111,169559.8661107872
112,153901.73347921998
113,95692.3146063097
114,270009.13544071565
115,52060.67068583802
116,297751.22319390194
117,601160.9782035546
118,448836.7656372923
119,344772.75944062753
120,4.163336342344337e-17
121,0.0
122,232213.22037460856
123,53684.291579211014
124,0.0
125,1.942890293094024e-16
126,134446.4963566871
127,117578.26796926536
128,59773.164630009414
129,162015.4364470053
130,607285.7527021066
131,666915.9803520748
