,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,4676.820592518998
23,5244.66647758589
24,1752.4496670210092
25,2189.492709524451
26,826.0046806648409
27,7910.14427664263
28,4109.345541458195
29,2241.093806306653
30,6316.81592645986
31,8436.603613442863
32,6902.1062498591755
33,3453.8159244623157
34,6294.700045801923
35,7653.983714293072
36,0.0
37,0.0
38,3572.8069274102477
39,0.0
40,4131.762918494124
41,5393.935411803641
42,0.0
43,73.9233730912804
44,0.0
45,0.0
46,1301.4963483026086
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,869.5349047534446
59,0.0
60,0.0
61,808.5084510090652
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,192.8699719679456
68,194.03912418387443
69,2753.42339511279
70,733.8634336716573
71,1550.938367434752
72,3805.4620738829735
73,1173.56849594174
74,0.0
75,1378.071250393388
76,13520.539140660985
77,4712.603169971658
78,0.0
79,0.0
80,0.0
81,1228.0520341255865
82,4703.040429358203
83,911.939764987354
84,0.0
85,0.0
86,3940.1647050395104
87,6955.100583289307
88,2651.6299840288148
89,940.5597016547595
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,522.7717007847077
97,2474.792198801719
98,1187.4585719780744
99,4068.5590963204836
100,8468.671919259117
101,10036.12935671565
102,971.4106893335729
103,1478.210925719359
104,1110.5132009497704
105,500.094057870018
106,536.7346820530292
107,900.2550719079079
108,1379.1963864691343
109,12624.139264511721
110,0.0
111,2360.973498636254
112,1619.3008530880957
113,1573.5754517251744
114,2490.1915983022836
115,15824.934834596272
116,14364.610041533002
117,9220.22646502262
118,11554.889199345434
119,4859.549150211742
120,0.0
121,0.0
122,8460.788844973506
123,2069.2121227251805
124,0.0
125,0.0
126,3693.959105826172
127,1622.5380947240963
128,478.24713822974746
129,10162.014439187036
130,4580.961203363114
131,10323.897010589735
132,7076.9421480692135
133,7911.021872847479
134,14556.03003354082
135,15226.120367364965
136,15749.408795554751
137,13550.167979036998
138,14048.612641044483
139,14290.412881410619
140,14351.886696372856
141,15051.19234191385
142,15781.616049482418
143,15765.59245957885
144,12269.300347157301
145,12977.832871398634
146,13332.066248728594
147,11397.555101813501
148,11600.373760433855
149,14121.256892498901
150,14753.776680814794
151,15771.937273681777
152,15376.16031213181
153,13724.680845525796
154,10811.976430442592
155,14100.535599777699
156,12455.768057912763
157,10916.772146863414
158,13012.33966179285
159,14404.665807068637
160,4528.653982007953
161,5277.420775355322
162,7161.6875620384735
163,7155.300240272189
164,1668.2261469706455
165,1804.700469069617
166,7365.697429100462
167,2488.8457907346383
168,6222.215671362561
169,10271.705944868225
170,1443.2247998896207
171,4874.193144535352
172,5861.537450779569
173,7125.564769367509
174,6707.72832151376
175,844.885104618161
176,955.4411080359295
177,2346.8273506347427
178,673.3233431677287
179,4484.841242061228
180,1343.1317985136325
181,4335.359291514211
182,3898.551195917571
183,1364.7866310577
184,6669.592601834769
185,1688.6931412464123
186,4888.382809741022
187,6643.571267297642
188,1384.771161385733
189,2589.091145048222
190,4127.03632212233
191,0.0
192,903.8902321610132
193,653.2736437765607
194,654.8295883829198
195,0.0
196,0.0
197,623.4233628791751
198,677.749492229388
199,468.744041298884
200,833.3380074175096
201,0.0
202,203.46604579991075
203,3660.2196390538006
204,0.0
205,0.0
206,399.8750196020271
207,3145.5447098532627
208,898.5035894470091
209,428.92084059323685
210,263.3816991588564
211,0.0
212,610.6184093038465
213,669.1067524333973
214,0.0
215,0.0
216,330.79933509664147
217,2613.49915254351
218,-2.6943780540023e-11
219,0.0
220,0.0
221,458.63515790756287
222,779.7519205026209
223,620.4429669524386
224,478.94202945556253
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,341.7054233854467
238,0.0
239,0.0
240,375.4550516976058
241,1248.2030972701764
242,1258.9041150987557
243,0.0
244,0.0
245,0.0
246,0.0
247,320.3594603476256
248,0.0
249,0.0
250,0.0
251,207.33303974755256
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,399.48525939822923
258,0.0
259,0.0
260,155.46555928249256
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,2204.106884082706
274,2958.0721047818433
275,3373.835785123377
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,4251.393489610854
291,504.6364535669972
292,1093.3815093615974
293,0.0
294,1599.612058502712
295,1808.5874176742118
296,4432.091649483978
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,609.7800154004096
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,-4.547473508864641e-13
339,312.28527735292084
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,3701.485164756684
348,275.12722799841606
349,562.2947858473699
350,0.0
351,587.0327847654016
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,101.0608642341957
359,0.0
360,3894.6775711906116
361,1960.1294083605353
362,414.73688932130557
363,5061.5779634753435
364,0.0
